"Tanggal Input";"Nama Barang";"Jumlah Barang Masuk";"Jumlah Barang Keluar";"Sisa Stok Barang";Satuan;"Tanggal Keluar";"Nama atau Bagian/Ruang yang Mengambil"
23/02/2026;"Kain Lap Meja";-;2;14;Buah;23/02/2026;"Untung Kustoro / Ruang Laika"
23/02/2026;"Peluru Hekter";-;6;1;Dos;23/02/2026;"Hairil Muhammad Indra Jaya / Ruang Perlengkapan"
23/02/2026;Stabillo;11;4;7;Warna;23/02/2026;"I Made Ngurah Rai Febrianto / Ruang Laika"
23/02/2026;"Pulpen Balliner Hijau";11;3;8;Buah;23/02/2026;"Indriati / Ruang Sekretaris"
23/02/2026;"Lem Kertas";-;3;11;Buah;23/02/2026;"Fadhilah Nurul Inayah Nasir / Ruang Malige"
23/02/2026;"Penjepit Kertas No. 280";10;-;10;Dos;-;-
24/02/2026;"Cairan Pembersih Piring (Bungkus)";16;8;8;Bungkus;24/02/2026;"Andi Herlina Nur / Ruang Malige"
24/02/2026;"Pulpen Snowman";8;-;25;Buah;-;-
24/02/2026;"Balon Lampu 12 watt";10;7;3;Buah;24/02/2026;"Sukmawati / Ruang Perlengkapan"
24/02/2026;Tip-Ex;-;5;34;Buah;24/02/2026;"Resgi Silvania / Ruang Keuangan"
24/02/2026;"Baterai Kotak";-;3;6;Buah;24/02/2026;"Zakiyah Mustafa Husba / Ruang Kepala Kantor"
24/02/2026;"Gelas Tinggi";9;6;10;Buah;24/02/2026;"Hairil Muhammad Indra Jaya / Ruang Kepala Kantor"
24/02/2026;"Teh Kotak";-;4;10;Buah;24/02/2026;"Cahyo Waskito Pur Antomo / Ruang Kepala Kantor"
24/02/2026;Trigonal;-;6;3;Dos;24/02/2026;"Dwidayanto / Ruang Perlengkapan"
24/02/2026;"Baterai AAA";12;6;17;Buah;24/02/2026;"Riskawaty / Ruang Keuangan"
24/02/2026;"Toner Epson L3110 Kuning";-;2;15;Botol;24/02/2026;"Sukmawati / Ruang Sekretaris"
25/02/2026;"Ultra Sari Kacang Ijo";18;1;17;Buah;25/02/2026;"Sukmawati / Ruang Laika"
25/02/2026;"Toner Epson L3110 Kuning";8;-;23;Botol;-;-
25/02/2026;"Cairan Pembersih Kaca";14;-;14;Buah;-;-
25/02/2026;"Kertas Foto";15;7;45;Bungkus;25/02/2026;"Siti Hajarah / Ruang Malige"
25/02/2026;Trigonal;16;6;13;Dos;25/02/2026;"Dwidayanto / Ruang Malige"
25/02/2026;"Aqua 330 ML";13;2;22;Dos;25/02/2026;"I Made Ngurah Rai Febrianto / Ruang Laika"
26/02/2026;"Stempel Kantor";12;3;9;Buah;26/02/2026;"Fadhilah Nurul Inayah Nasir / Ruang Laika"
26/02/2026;"Balon Lampu 19 Watt";10;-;10;Buah;-;-
26/02/2026;"Cairan Pembersih Piring";13;4;44;Botol;26/02/2026;"Indriati / Ruang Laika"
26/02/2026;"Taplak Meja";15;-;15;Buah;-;-
26/02/2026;"Stick Notes";-;3;14;Buah;26/02/2026;"Eka Rohmaniah Apriani / Ruang Laika"
26/02/2026;"Spon Cuci Piring";-;4;11;Buah;26/02/2026;"Sainudin Husni / Ruang Laika"
26/02/2026;"Cairan Pembersih Kaca";8;7;15;Buah;26/02/2026;"Sukmawati / Ruang Laika"
26/02/2026;"Cairan Pembersih Toilet";13;-;13;Buah;-;-
26/02/2026;Amplop;15;-;15;Dos;-;-
27/02/2026;"Bingkai A4 Untuk Piagam Penghargaan";-;2;13;Buah;27/02/2026;"Indriati / Ruang Alih Daya"
27/02/2026;"Tempat Tissue";16;5;16;Buah;27/02/2026;"Febriyani Rahayu / Ruang Laika"
27/02/2026;"Tissue Basah";9;1;22;Buah;27/02/2026;"Sainudin Husni / Ruang Perlengkapan"
27/02/2026;"Vixal 600ML";-;3;17;Botol;27/02/2026;"Indriati / Ruang Alih Daya"
27/02/2026;"Minuman Tropicana Slim";-;1;19;Buah;27/02/2026;"Asri / Ruang Kepala Kantor"
27/02/2026;"Baterai Kotak";-;4;2;Buah;27/02/2026;"Cahyo Waskito Pur Antomo / Ruang Laika"
27/02/2026;"Penjepit Kertas No. 200";12;4;18;Dos;27/02/2026;"Dwidayanto / Ruang Perlengkapan"
27/02/2026;"Cairan Pembersih Toilet";-;4;9;Buah;27/02/2026;"Mohammad Hanafi / Ruang Alih Daya"
27/02/2026;"Poster Presiden dan Wakil Presiden";6;-;22;Pasang;-;-
02/03/2026;"Pengharaum Kamar Mandi Bundar";-;4;20;Buah;02/03/2026;"Nurmiyanti / Ruang Keuangan"
02/03/2026;"Cairan Pembersih Tangan";11;-;11;Botol;-;-
02/03/2026;"Aqua 330 ML";-;2;20;Dos;02/03/2026;"Maulita Dewi Iskandar / Ruang Alih Daya"
02/03/2026;"Minuman Oatside";-;4;9;Buah;02/03/2026;"Febriyani Rahayu / Ruang Laika"
02/03/2026;"Kain Lap Meja";-;2;12;Buah;02/03/2026;"Asri / Ruang Sekretaris"
02/03/2026;"Map Plastik Lubang";10;-;10;Buah;-;-
03/03/2026;"Map plastik";8;-;47;Buah;-;-
03/03/2026;"Pengharum Mobil Gantung";13;1;12;Buah;03/03/2026;"Andi Herlina Nur / Ruang Perlengkapan"
03/03/2026;"Air Galon";15;2;18;Galon;03/03/2026;"Hairil Muhammad Indra Jaya / Ruang Sekretaris"
03/03/2026;"Baterai AA";13;-;43;Buah;-;-
03/03/2026;"Tissue Kotak";12;-;12;Kotak;-;-
03/03/2026;"Pulpen Balliner Warna Hijau";11;-;22;Buah;-;-
03/03/2026;"Keset Kaki";-;5;0;Buah;03/03/2026;"Fitkha Maylana Rahayu / Ruang Keuangan"
03/03/2026;"Susu Kotak Coklat";17;6;30;Buah;03/03/2026;"Fitkha Maylana Rahayu / Ruang Sekretaris"
04/03/2026;"Map Batik";13;3;30;Buah;04/03/2026;"Maulita Dewi Iskandar / Ruang Kepala Kantor"
04/03/2026;"Map Ordner";-;2;17;Buah;04/03/2026;"Fadhilah Nurul Inayah Nasir / Ruang Laika"
04/03/2026;"Sapu Lidi";11;1;10;Buah;04/03/2026;"Nurmiyanti / Ruang Malige"
04/03/2026;"Buavita Mangga";11;-;24;Buah;-;-
04/03/2026;"Stempel Balai Bahasa";18;3;15;Buah;04/03/2026;"Amran Pamme / Ruang Sekretaris"
04/03/2026;"Gantungan Kamar Mandi";-;2;21;Buah;04/03/2026;"Dwidayanto / Ruang Kepala Kantor"
05/03/2026;"Hydro Coco";16;3;18;Buah;05/03/2026;"Mifta Huzaena / Ruang Alih Daya"
05/03/2026;"Pulpen Balliner Hitam";-;4;14;Buah;05/03/2026;"Mifta Huzaena / Ruang Malige"
05/03/2026;"Isolasi Bening";12;-;29;Buah;-;-
05/03/2026;"Mete Gorong";10;3;21;Bungkus;05/03/2026;"Sainudin Husni / Ruang Laika"
05/03/2026;"Baterai AAA";9;-;26;Buah;-;-
